NAME,POS,GP,AB,R,H,AVG,2B,3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
Aaron JudgeNYY,CF,145,517,110,165,0.319,33,1,51,126,353,119,156,8,0.453,0.683,1.136,9.5
Bobby Witt Jr.KC,SS,147,586,120,195,0.333,42,11,30,99,349,47,98,28,0.385,0.596,0.98,9
Jarren DuranBOS,CF,145,610,102,174,0.285,44,13,21,72,307,50,146,32,0.342,0.503,0.845,8.4
Gunnar HendersonBAL,SS,145,576,111,162,0.281,27,6,36,85,309,72,145,18,0.366,0.536,0.903,8.3
Juan SotoNYY,RF,143,530,115,153,0.289,28,4,39,101,306,118,107,5,0.418,0.577,0.996,7.4
Shohei OhtaniLAD,DH,143,569,116,166,0.292,30,7,47,104,351,74,146,48,0.375,0.617,0.992,7.4
Matt ChapmanSF,3B,144,536,93,134,0.25,35,1,24,73,243,62,146,15,0.333,0.453,0.787,6.7
Francisco LindorNYM,SS,146,596,102,160,0.268,38,1,31,85,293,54,122,27,0.34,0.492,0.831,6.4
Ketel MarteARI,2B,120,451,83,133,0.295,21,2,31,85,251,53,94,6,0.368,0.557,0.924,6
Vladimir Guerrero Jr.TOR,1B,144,558,88,179,0.321,40,1,28,94,305,64,88,2,0.394,0.547,0.94,5.4
Jose RamirezCLE,3B,144,567,104,153,0.27,32,1,34,106,289,51,76,39,0.329,0.51,0.838,5.4
Mookie BettsLAD,SS,100,389,69,118,0.303,23,4,17,66,200,59,51,14,0.395,0.514,0.909,5.2
Brent RookerOAK,LF,130,486,76,145,0.298,25,2,36,102,282,53,156,9,0.37,0.58,0.951,5.1
Corey SeagerTEX,SS,123,475,68,132,0.278,21,0,30,74,243,53,96,1,0.353,0.512,0.864,5
Yordan AlvarezHOU,LF,137,515,81,160,0.311,31,2,32,80,291,63,87,6,0.394,0.565,0.959,5
Daulton VarshoTOR,CF,136,459,73,98,0.214,21,7,18,58,187,48,137,10,0.293,0.407,0.7,4.9
Riley GreeneDET,LF,122,453,74,120,0.265,25,6,21,66,220,60,138,4,0.356,0.486,0.841,4.9
Elly De La CruzCIN,SS,146,560,96,145,0.259,33,8,23,65,263,66,196,64,0.343,0.47,0.812,4.8
Zach NetoLAA,SS,142,492,66,126,0.256,31,1,21,70,222,36,122,29,0.327,0.451,0.778,4.7
Masyn WinnSTL,SS,136,525,72,143,0.272,26,4,13,50,216,38,101,11,0.32,0.411,0.731,4.4
Brice TurangMIL,2B,140,501,64,127,0.253,22,4,7,52,178,44,97,41,0.315,0.355,0.67,4.3
William ContrerasMIL,C,142,554,91,155,0.28,35,2,21,84,257,67,126,6,0.359,0.464,0.823,4.2
Bryce HarperPHI,1B,130,496,76,143,0.288,39,0,26,79,260,68,117,5,0.375,0.524,0.899,4.2
Marcell OzunaATL,DH,146,548,88,166,0.303,28,0,37,98,305,64,156,0,0.376,0.557,0.933,4.2
Cal RaleighSEA,C,139,489,65,105,0.215,16,0,30,92,211,62,163,6,0.307,0.431,0.738,4.2
Freddie FreemanLAD,1B,134,493,75,139,0.282,31,2,21,83,237,72,95,6,0.38,0.481,0.86,4.1
Ian HappCHC,LF,139,511,82,124,0.243,34,2,23,81,231,72,159,11,0.341,0.452,0.793,4
Marcus SemienTEX,2B,144,589,91,141,0.239,25,2,21,70,233,58,95,6,0.308,0.396,0.704,4
Brenton DoyleCOL,CF,139,508,79,135,0.266,24,4,22,67,233,44,147,27,0.325,0.459,0.784,3.9
Rafael DeversBOS,3B,131,502,84,139,0.277,34,5,28,81,267,62,136,2,0.355,0.532,0.887,3.8
Jackson ChourioMIL,RF,132,464,71,126,0.272,26,2,20,71,216,35,104,20,0.325,0.466,0.791,3.8
Kyle TuckerHOU,RF,65,229,45,61,0.266,12,0,19,42,130,48,46,10,0.393,0.568,0.961,3.7
Andres GimenezCLE,2B,139,533,61,136,0.255,20,1,8,59,182,25,89,28,0.304,0.341,0.645,3.7
Jackson MerrillSD,CF,142,504,72,144,0.286,23,6,23,83,248,25,96,16,0.318,0.492,0.81,3.6
Bryan ReynoldsPIT,LF,141,566,70,158,0.279,26,3,22,83,256,51,138,10,0.346,0.452,0.798,3.6
Jose AltuveHOU,2B,141,576,86,174,0.302,28,0,19,62,259,43,110,20,0.357,0.45,0.806,3.6
Ernie ClementTOR,3B,124,378,45,101,0.267,20,3,11,47,160,9,35,11,0.288,0.423,0.712,3.6
Kyle SchwarberPHI,DH,134,510,100,128,0.251,20,0,35,95,253,98,176,5,0.372,0.496,0.868,3.5
Josh SmithTEX,3B,135,464,60,122,0.263,27,1,12,56,187,44,106,9,0.347,0.403,0.75,3.5
Alec BohmPHI,3B,131,507,59,147,0.29,44,2,13,89,234,38,76,5,0.343,0.462,0.804,3.5
